int_rate,mths_since_last_delinq,revol_util,tot_cur_bal,delinq_2yrs
17.57,,58.9,39660,0
16.29,71,82.8,136583,0
20.2,20,62.5,169913,1
8.18,40,85.1,38484,0
9.67,,67.4,38806,0
15.37,,50.3,,0
11.53,,82.2,19723,0
19.47,,36,70221,0
11.53,46,27.3,33847,0
16.29,,59.8,12674,0
12.99,35,76.9,5844,0
12.69,71,30.8,469458,0
7.26,80,68.2,287326,0
6.92,17,31.3,65575,1
7.69,37,49.1,410949,0
7.89,,87,190810,0
5.79,,11.6,,0
13.99,,69,14582,1
14.33,,34.4,179303,0
12.99,13,60.1,35305,1
7.9,24,43.9,30140,0
8.9,81,45,349868,0
6.91,,55.5,,0
6.24,,31.7,233870,0
11.49,,47.6,,0
13.67,52,56.6,11820,0
23.43,44,70.6,367117,0
17.57,,89,20022,0
28.49,24,70.6,56751,0
18.75,7,31.8,59400,3
10,28,54.8,,0
19.99,71,27.2,3782,0
16.99,24,48.2,38425,0
13.98,,66.3,244974,0
17.93,3,87.6,,1
9.17,,57.9,18913,0
13.33,29,64.5,22622,0
15.31,,65,231367,0
17.57,22,43.8,60097,1
19.2,56,59.8,36027,0
7.26,,47.9,13844,0
16.99,0,74.2,36039,1
13.11,,56.5,29320,0
7.89,12,68.7,375492,1
8.9,,77,268936,0
8.39,,33.8,5108,0
10.99,30,52.8,249522,0
12.69,,40.9,223255,0
13.98,20,45.6,46945,1
15.31,74,43.1,133759,0
15.61,,58.6,22667,0
12.69,,50.3,91819,0
12.49,33,68.1,19409,0
15.61,,70.4,39050,0
8.19,74,45.4,130284,0
10.15,54,27.1,280819,0
11.99,,57.8,11393,0
10.74,,22.2,,0
18.99,,85.8,251984,0
7.89,42,45.6,26011,0
9.99,6,50,29165,1
12.12,9,34.3,658376,1
9.99,,54.5,292461,0
20.49,8,37.6,14825,1
7.49,40,58.5,27518,0
9.99,,32,50803,0
14.64,,50.7,30593,0
5.32,56,44.4,402057,0
10.49,17,38.3,76461,3
18.25,28,59.1,361240,0
14.65,,81.8,150807,0
24.99,,83.1,25763,0
8.67,,69.5,25341,0
15.59,8,81.8,398203,1
11.44,,20.2,470836,0
22.95,65,70.3,165053,0
10.99,59,47.1,5039,0
22.99,,38,63111,0
14.31,48,82.6,16842,0
15.8,,9.3,18029,0
14.99,27,57.9,304411,0
15.61,,84.7,504735,0
12.29,14,59,18336,3
14.65,49,70.9,62672,0
18.25,2,24.8,208596,1
8.9,,23.7,,0
12.99,13,35.2,41660,1
10.49,,38.2,38428,0
6.99,,22.3,351701,0
16.99,,48,53871,0
19.52,29,82.5,450702,0
11.99,6,79.2,73082,3
13.98,,58.6,254838,0
9.99,,42,110513,0
13.33,,41.5,34296,0
13.43,0,97.9,,0
11.99,51,50.7,25633,0
8.18,34,0,52263,0
7.26,,29.4,38120,0
9.17,,32.3,21021,0
14.09,42,89.9,,0
11.67,,72.8,109613,0
10.16,27,61,7317,0
9.76,72,14.8,35939,0
11.99,16,41.6,295790,2
17.27,,93.8,,0
24.99,31,68,128712,1
15.77,69,17.1,134828,0
18.85,29,80.8,195176,0
17.57,20,92.2,162221,1
18.25,5,65,65058,1
9.76,47,101.3,20212,0
13.35,,36.3,236302,0
7.89,,58.7,49270,0
7.62,,1.4,63063,0
7.26,59,14.2,41318,0
12.49,,29.3,100869,0
20.99,,89.9,163406,0
12.99,29,77.5,31238,0
18.49,,89.8,385062,0
19.72,,71.9,446988,0
8.19,34,46.4,33648,0
9.63,,14.9,,0
10.15,10,64,432974,3
13.67,41,52,190894,0
13.11,,71.3,13597,0
5.42,,29.2,,0
12.99,,73.4,165382,0
15.61,,89.7,64110,0
9.99,37,71.8,61970,0
18.25,,88.1,378789,0
16.99,69,57,10069,0
9.99,20,29.6,277459,1
19.52,40,77.6,92252,0
9.49,,83.5,22798,0
19.52,79,44.1,17404,0
12.05,53,39.8,7574,0
15.61,43,59,262495,0
20.99,39,82.8,165506,0
17.57,,56.9,431317,0
6.03,62,47.3,164931,0
12.59,,55.1,281627,0
25.8,10,82.4,74215,2
9.49,,6.7,305685,0
12.49,,37.5,163501,0
12.29,,50,44037,0
16.99,,77.8,189992,0
14.3,11,51.3,127702,2
12.99,,66,8026,0
13.99,47,94.6,286870,0
6.03,63,10.2,90621,0
6.24,,81.7,41126,0
9.17,,75,137392,0
23.7,11,60.4,177468,2
21,,76.5,34060,0
9.17,36,73.1,245138,0
6.03,,16.5,70685,0
13.33,56,44,48136,1
7.69,33,73.3,11172,0
14.65,38,45,25962,0
15.59,13,97.5,41126,1
17.77,,59.7,14681,0
10.99,,33.3,12371,0
7.62,38,64.8,185461,0
18.54,,49.7,37473,0
13.66,,92.8,30319,0
11.53,5,56.8,201585,5
13.33,44,71.5,288414,0
7.62,44,48,196377,0
16.55,23,81,268213,3
17.57,17,8.2,128171,7
15.41,,73.6,78471,0
14.49,,34.5,386682,0
17.57,,80.6,12181,0
12.85,,23.1,401098,0
17.57,25,42.1,690580,0
11.53,15,64.8,30912,1
16.55,10,57.6,39372,2
13.67,,39.3,25604,0
8.18,,1.6,202664,0
13.99,29,20.6,183401,0
14.98,5,31.4,76708,2
6.68,,18.1,513725,0
12.59,,62.7,24075,0
19.52,,42.8,79828,0
12.29,,61.8,141668,0
8.9,,0,,0
11.53,19,49.6,281456,1
19.19,,85.4,329328,0
17.27,,55.6,19326,0
16.99,,30.9,142128,0
12.69,,84.4,295298,0
11.44,81,33.7,143045,0
20.49,,45.6,28644,0
12.35,,66.3,13208,0
22.15,,76.1,21826,0
23.43,29,59.7,69558,0
10.15,,54.4,148816,0
17.57,,94.6,288405,0
15.31,71,75,33748,0
16.55,,7.1,260157,0
6.62,,70.1,219769,0
9.17,74,48,112830,0
14.65,,71.9,155355,0
14.99,18,85.5,84178,9
6.68,,28.9,271386,0
16.99,17,68.4,306724,1
21.48,50,94.5,,0
8.19,,72.5,40665,0
14.65,20,86.7,433164,2
14.98,61,49.3,205866,0
19.69,14,48.3,,2
15.8,,65.2,27093,0
14.65,27,60.7,157522,0
6.03,18,14.5,193033,1
10.99,,84.7,331383,0
13.33,,64.1,205922,0
11.49,,69.3,6096,0
8.39,41,22.4,312034,0
10.25,,21.1,,0
13.99,16,68.8,247979,1
13.35,23,91,232222,1
13.11,,42,,0
13.99,3,84.5,187594,1
11.99,41,66.8,118644,0
9.99,13,11.7,71180,2
10.64,46,36,75050,0
22.99,46,94.8,207781,0
18.49,27,48.2,130073,0
19.99,35,47.7,9897,0
18.25,68,34.7,99051,0
13.98,6,15.9,222160,1
7.26,,63.8,101169,0
7.62,11,23.7,379059,1
14.65,,73.7,,0
13.99,,94.3,202848,0
18.25,,98.4,31898,0
7.9,2,64,385594,3
17.86,,57.4,10037,0
12.29,,73.5,63254,0
7.49,42,66.6,102630,0
7.89,34,54.6,311319,0
14.65,,65,73426,0
13.66,20,63.3,173340,1
13.99,17,96.3,21419,1
18.85,,81.7,166328,0
10.15,,56,36229,0
18.49,,50.5,68551,0
5.32,,21.9,35568,0
18.99,12,12.5,130382,1
12.69,,66.3,254116,0
19.52,,60.4,65937,0
19.19,31,36.6,71282,0
17.14,47,65.7,47431,0
11.99,,33.1,72633,0
13.11,,75,,0
7.49,,71.6,220170,0
16.29,47,73.9,235927,0
11.99,,58.8,26310,0
15.31,,52.5,22771,0
13.33,31,52.3,113486,0
16.59,40,85,456827,0
10.99,,69.2,213163,0
11.53,55,48.2,131251,0
11.99,18,53.9,258688,1
12.12,,41.8,59791,0
16.55,,60.1,99875,0
6.03,,17.1,153078,0
12.69,14,56.8,29518,1
12.69,1,68.8,212212,1
12.99,59,30.2,160672,0
19.19,,109.5,24646,0
15.1,17,44.3,9521,1
16.59,,72.1,3325,0
15.1,22,59.8,419856,1
11.99,72,16.2,680,0
12.99,,41,36032,0
12.12,9,68.5,248824,3
14.65,3,20.4,78365,1
13.99,,54.2,22936,0
5.93,,43.7,329250,0
10.99,,55.8,45874,0
14.09,,95.9,,0
12.12,16,88.2,552177,1
6.68,23,27.2,241900,1
8.67,6,38.1,401274,1
19.72,,65.3,26133,0
13.68,,70.7,362929,0
7.62,,64,235519,0
6.49,55,46.4,299593,0
18.25,39,51.2,10038,0
20.49,93,48.1,,0
9.63,,34.6,,0
13.68,46,61,185719,0
18.25,,86.4,9939,0
14.33,,84.4,140539,0
14.49,,43.3,98686,0
6.39,,28.7,27483,0
11.53,,34.1,42856,0
6.24,,48.1,105801,0
10.64,,53.7,165656,0
12.99,70,64.2,77467,0
14.35,82,73.3,,0
9.71,,81.2,224382,0
14.65,,28.4,70501,0
7.9,55,15.1,332045,0
18.25,,66.5,265495,0
7.89,,30.8,157179,0
25.57,,86.7,207469,0
8.18,,16.1,82877,0
15.99,61,61.9,45728,0
14.64,,83.2,15349,0
15.59,,21.2,253602,0
12.12,,58.6,194141,0
10.99,22,67.8,474287,1
19.52,65,95.5,190248,0
10.99,,34.3,207864,0
21.99,,85.8,31877,0
18.25,30,83.3,319426,0
7.12,75,42.7,17425,0
6.92,36,72.4,403502,0
16.99,75,45.5,93816,0
18.99,59,68.8,9311,0
23.99,20,38.4,87263,2
9.17,,90.2,85976,0
6.24,58,35.6,39724,0
6.24,,46.2,17502,0
12.29,,48,12973,0
17.77,,81.5,267306,0
19.99,,101.6,64245,0
16.29,,96.7,192601,0
14.65,46,45.5,11605,0
7.62,,49.8,161539,0
7.9,,68.8,545904,0
7.26,,41.2,588967,0
13.33,,78.5,240667,0
11.49,38,0,,0
13.05,,39.4,16140,0
5.32,,41.8,170374,0
11.14,,50.6,90463,0
9.99,,51,13801,0
12.99,10,69.8,,1
9.17,58,40.2,27947,0
16.29,,69.3,93133,0
17.77,19,51.3,20279,1
11.53,53,46.9,143225,0
6.62,,3.8,,0
13.33,,44.6,23484,0
12.99,3,70.3,489317,2
15.61,5,95.6,257819,1
19.19,,77.8,187460,0
8.18,29,77,131934,0
11.53,22,50.9,55930,1
12.39,9,33.7,15102,1
9.67,0,14,306955,1
14.16,,55.2,141138,0
19.19,55,11.2,559594,0
20.99,,77,23738,0
8.18,6,74.4,182647,1
15.96,,89.2,,0
11.55,,68,176352,0
12.99,,37.3,27978,0
8.18,,88.3,57236,0
6.89,44,42.5,86713,0
8.9,,32,68873,0
19.99,,80.3,,0
14.16,,65.8,54057,0
8.18,,53.3,41197,0
15.61,32,83.6,34999,0
13.67,,72.1,12648,0
19.97,,39.1,306788,0
15.61,,80.8,187451,0
10.99,24,46,430218,0
19.72,,93.3,38687,0
17.57,,55,40892,1
10.62,,79.2,,0
13.11,,77.1,14455,0
9.17,,18.1,64267,0
18.55,55,77.4,120099,0
11.44,,88.2,23898,0
25.57,,97.9,51686,0
13.33,47,54.3,343430,0
12.99,,86.6,15395,0
8.18,,67.1,234498,0
17.86,,61.7,163121,0
13.33,5,15.4,190423,1
6.89,,39.4,8243,0
12.29,,70,10823,0
7.49,,68.4,106799,0
7.69,,16.7,90751,0
13.33,,82.1,124581,0
11.53,,28.3,18905,0
16.55,,89.2,45852,0
9.17,73,44.1,48266,0
9.99,9,31.9,118251,1
11.99,,16.8,205391,0
14.65,,38.5,297659,0
10.16,,64.4,20909,0
13.33,,75.5,198461,0
6.03,,38.2,52776,0
11.99,,79.4,95669,0
6.62,,51.2,,0
13.33,,88.6,437519,0
6.89,18,46.6,162525,4
7.69,,34.9,23088,0
8.67,,93.5,49590,0
11.53,,66.5,421904,0
12.12,,54.1,,0
15.59,44,40.7,115498,0
15.88,63,53.7,161718,0
19.52,,34.6,31981,0
14.98,,62.6,13644,0
11.99,,58.3,161480,0
6.89,,49.1,309559,0
13.66,,45.4,9691,0
14.99,,39.9,19664,0
13.33,,30.6,20273,0
21.99,35,5.1,72724,0
14.65,,83.3,8333,0
12.99,,83.5,25979,0
12.99,6,23.1,24150,2
6.03,22,14.6,509965,1
12.12,,36.3,15354,0
22.99,31,51.1,19981,0
11.14,28,54,187970,0
12.29,,62,9418,0
8.39,60,37.1,229343,0
6.92,,44.1,17632,0
21,46,61.8,144696,0
12.69,46,62.7,215169,0
10.99,,54,31152,0
10.49,58,52,35451,0
16.99,78,19.9,40289,0
17.57,34,48.8,8110,0
15.59,7,55,30869,3
14.33,40,69,116633,0
10,26,24.2,,0
9.17,,9.1,900,0
12.99,,41.1,54940,0
10.99,37,83.8,138465,0
11.49,,48.4,10025,0
13.11,,83.5,254875,0
10.49,,63.4,71941,0
13.11,,44,53809,0
6.03,,23.8,187882,0
17.57,9,77.2,292025,2
12.69,,61.6,33569,0
16.99,,80,14323,0
19.99,,46.5,152793,0
16.78,8,54.5,52412,1
5.32,,3.9,117304,0
21.18,,53.5,526628,0
13.35,49,74.6,140608,0
11.48,,56.2,74939,0
8.9,,24.1,24421,0
16.99,34,29.1,57567,0
12.69,,44.6,118730,0
7.26,52,32.1,126395,0
8.18,32,36.9,190532,0
18.99,,77.8,15941,0
7.26,41,42.3,18341,0
6.03,,30.5,547036,0
9.17,30,84.7,77768,0
10.99,,91,,0
6.17,,3.5,,0
16.78,3,45.4,86182,1
16.99,,42.1,25278,0
9.67,,31.3,124229,0
12.49,16,39,37955,2
8.67,15,66.4,156707,1
12.12,37,78.3,46389,0
18.55,15,3.3,12644,2
18.84,,99.8,,0
13.67,,41.2,12085,0
8.67,49,72.4,498384,0
8.38,8,47.2,9366,1
8.38,45,40.6,635482,0
7.9,,32.4,181882,0
6.24,66,3.9,242081,0
14.65,,91.5,38794,0
18.25,44,93.3,107820,0
16.29,57,73.1,278682,0
19.52,68,36.5,53257,0
12.42,46,47.2,,0
13.98,,26.9,30725,0
16.55,,50.7,27629,0
16,35,30.7,,0
13.85,,78.2,,0
13.11,,40.3,62471,0
13.98,,81.3,40094,0
8.18,,47.8,42708,0
18.49,61,44.9,224112,0
6.24,24,79.2,195011,0
12.29,43,87.2,296557,0
12.29,24,48.7,151176,0
9.91,,15.4,,0
13.35,36,46,18058,0
6.03,5,25.1,16927,1
14.98,65,77.2,213064,0
18.25,,47,9794,0
9.17,40,18.5,51635,0
10.99,,29,215226,0
14.64,14,57.6,224639,1
8.6,8,31.7,391882,2
14.09,,61.6,19460,0
15.8,,94.7,389071,0
12.99,,80.9,449775,0
5.32,32,48.3,56310,0
9.91,66,84,,0
11.44,,16.6,35003,0
8.18,55,33.1,298111,0
15.61,,72,20806,0
14.49,,3.4,909,0
5.93,,39.9,498321,0
6.92,17,76.5,20120,1
20.99,,80.6,72576,0
14.16,,71.2,264236,0
9.25,24,30.5,84510,0
5.32,,40.2,193161,0
7.89,6,38.1,89735,4
12.99,14,26.4,8842,1
12.59,28,8.9,523,0
15.8,,51.9,238514,0
9.17,,81.1,171706,0
13.43,53,59.1,,0
16.49,33,55.8,20645,0
15.61,8,81.4,333899,6
9.49,20,27.3,172679,1
24.08,32,62.7,52634,0
17.86,,57.8,202189,0
16.29,30,39.9,11158,0
14.54,32,53.8,,0
16.99,47,68,8844,0
15.8,,81.6,47988,0
19.52,,33.2,49678,0
7.26,35,28.9,231959,0
7.49,,33.6,111615,0
24.5,18,43.8,256121,1
13.18,34,88,61499,0
18.99,,55.5,58947,0
7.89,,11.6,129747,0
14.99,,67.7,244068,0
9.67,,64.9,288548,0
12.69,30,84,442906,0
7.89,,41.9,31082,0
15.61,,63,18377,0
17.86,9,26.1,21540,4
17.77,46,42.1,,0
21.99,,70.5,164064,0
9.67,,34.4,28428,0
11.49,,31.1,21673,0
12.69,,32.2,26173,0
6.62,,28.1,,0
15.61,,42.9,26010,0
12.18,,46.4,,0
19.19,,57.8,51122,0
17.86,,78.4,361836,0
16.99,75,55,237703,0
17.14,4,47.7,16136,1
9.17,69,40.4,121872,0
11.99,65,49.5,35182,0
15.21,51,27.1,,0
10.49,,60.6,58097,0
19.99,,100.6,6637,0
15.8,,83.8,186286,0
20.49,,85.4,60879,0
19.52,60,31.5,35720,0
15.8,16,76.4,285054,2
7.26,,37,256101,0
13.66,20,73.1,19946,1
10.16,,53.8,222604,0
13.99,24,79.6,84396,0
10.99,32,16.4,54931,0
7.26,21,45.3,385067,2
14.09,,36.3,29617,0
15.61,2,31.6,26797,2
8.18,29,67.1,102840,0
8.94,,60.7,,0
7.62,11,33.7,32107,2
7.69,33,73.3,128348,0
19.24,19,49.5,48555,1
24.24,,60.7,7694,0
9.17,16,86.3,39512,1
11.53,26,92.7,6963,0
17.1,7,53.1,41322,2
13.35,23,6.6,318338,1
13.98,,80.8,273706,0
11.14,,28.4,89105,0
15.99,35,62.2,200107,0
6.03,,42.5,,0
16.78,,60.4,291363,0
15.22,,47.4,4169,0
14.65,,66.8,53217,0
13.99,37,78.9,169826,0
12.39,,41.8,185600,0
18.55,,66.3,,0
13.65,11,35.7,106145,1
13.11,,88.5,57214,0
12.29,35,53.2,44864,0
14.88,20,73.7,,1
13.49,,70.7,,0
12.99,12,70.4,79799,1
13.05,,33.7,127231,0
5.32,27,9.8,109585,0
10.15,20,27.1,321107,1
6.92,19,70.5,17868,1
12.29,,72,82799,0
14.65,37,24.5,67870,0
12.85,73,67.6,45656,0
25.89,13,75.4,41593,1
13.65,11,68.7,33467,1
15.31,15,74.1,286113,2
10.64,,68.2,245572,0
7.89,36,50.7,50747,0
11.99,,67.3,49711,0
9.91,11,31.3,,1
10.99,21,98.2,203931,3
15.61,77,49.3,82982,0
11.22,3,52.8,155944,3
13.68,,74.3,185354,0
16.99,73,51,19590,2
6.39,,21.9,259280,0
15.61,,68,21163,0
16.55,37,49.5,87889,0
20.99,29,86.9,7103,0
18.24,,37.7,34992,0
24.5,71,85.9,260698,0
8.9,,81.7,30619,0
10.16,59,13.9,40318,0
16.78,,66.3,225209,0
26.06,63,14.5,127224,0
14.99,22,28.3,22093,1
12.29,56,24.2,51293,0
6.03,,17.4,122638,0
16.29,45,96.5,7414,0
16.29,47,31,32392,0
13.33,55,29.1,8632,0
17.86,,91.4,54048,0
7.9,42,1.9,,0
24.99,,99.4,762757,0
9.99,,37.8,111170,0
9.49,,82.8,344906,0
19.52,,56.8,16028,0
13.11,,66.8,,0
9.99,59,20.9,34752,0
13.33,5,92.1,55744,1
14.65,29,31.9,25538,0
9.17,33,26.2,431072,0
11.48,,59.6,,0
18.99,69,54.3,122589,0
19.52,28,69.3,42381,0
8.18,6,22.1,283056,6
20.49,6,85.6,239531,2
17.86,29,87.5,34599,0
12.85,71,53.1,90185,0
14.16,,86.5,49922,0
8.18,,71,61505,0
8.38,31,83.3,85243,0
7.89,66,48,27622,0
15.61,,72.2,67091,0
19.2,,37.7,28387,0
8.18,,101.5,35659,0
7.14,,30.7,,0
7.12,,33.4,222328,0
12.35,33,36.8,12087,0
5.32,17,73.1,260770,1
14.65,,90.2,68371,0
6.89,2,40.3,193283,2
15.61,,85.1,247359,0
16.99,,44.1,13754,0
18.2,,42.6,40032,0
9.76,,50.1,15308,0
6.49,65,30.3,25226,0
15.31,,82.6,170916,0
16.99,,7.4,191988,0
15.61,,35.3,134479,0
13.67,48,90.1,187724,0
11.99,28,71.3,342541,0
17.14,,81.3,336205,0
13.65,23,77.2,180178,1
6.03,,48.9,536122,0
8.67,64,50.9,87767,0
8.9,,55.1,303288,0
12.49,14,75.2,14474,1
25.57,,58.5,257202,0
19.05,,91.1,21714,0
21.7,,59.6,4337,0
7.89,,96.5,131062,0
12.69,,69,17087,0
9.17,12,25.3,393797,1
17.57,,68.3,43780,0
10.99,,54.3,20411,0
9.17,,20.3,129145,0
12.69,72,11.9,16529,0
11.99,,57.7,34015,0
6.24,17,77.5,55876,1
7.51,,45.4,,0
13.11,,97,87745,0
13.99,55,18.6,259766,0
12.99,,75.2,283412,0
7.89,,61.3,93288,0
9.17,,59.6,199794,0
8.18,,46.8,22240,0
9.17,73,53.5,219103,0
13.33,,27.4,168988,0
14.93,42,0,,0
7.9,,37.8,150145,0
8.18,,66.1,40970,0
10.99,,54.9,152072,0
18.55,,2.5,24984,0
12.99,12,35.9,769107,2
7.62,,15.8,8407,0
23.63,,82.4,493674,0
6.24,,56,221924,0
12.12,,84.5,,0
11.14,,28.2,57784,0
12.29,40,61.4,20571,0
17.86,,60.7,31097,0
19.52,57,65.3,261211,0
9.25,,34,141913,0
17.77,,54,9394,0
6.39,,78.8,146831,0
20.2,,46.1,228068,0
6.24,,43.2,220487,0
8.67,65,0,8411,0
11.49,57,59.2,29197,0
17.86,,89.5,322202,0
11.67,,16,15314,1
7.26,79,28.6,254077,0
9.99,,46.2,114498,0
12.35,,99,144606,0
11.14,,44.6,297806,0
9.62,,0,,0
9.99,16,60.7,326763,2
18.25,,85.4,12800,0
15.31,6,89.1,140629,1
15.99,,78.4,44389,0
13.33,,92.4,50642,0
13.98,,71.2,247433,0
15.99,23,30.1,188083,1
17.27,20,80.7,266987,1
13.67,26,26.8,21683,0
10.74,38,36.4,,0
14.65,,75.9,73700,0
18.55,40,52.3,,0
24.7,27,57.6,37980,0
5.32,26,13,151951,0
